rows,world,it,time,tag,out
# rerunning tests 
#1000000000,64,0,21373.106241226196
1000000000,64,1,14208.881855010986
#1000000000,64,2,19974.379777908325
1000000000,64,3,14527.954578399658
1000000000,128,0,13012.605667114258
#1000000000,128,1,25514.09864425659
1000000000,128,2,15690.654993057251
1000000000,128,3,14970.839977264404
1000000000,256,0,13410.202980041504
1000000000,256,1,13446.212768554688
1000000000,256,2,14116.259813308716
1000000000,256,3,13403.195142745972
#1000000000,512,0,27623.157262802124
1000000000,512,1,13498.241424560547
1000000000,512,2,17754.743337631226
1000000000,512,3,15602.510213851929
1000000000,1,0,13018.736362457275
1000000000,1,1,14215.567827224731
1000000000,1,2,12690.006971359253
1000000000,1,3,13363.791704177856
1000000000,2,0,7.0629119873046875
1000000000,2,1,14493.80087852478
1000000000,2,2,13344.633102416992
1000000000,2,3,13180.036783218384
1000000000,4,0,13003.210306167603
1000000000,4,1,13564.257383346558
1000000000,4,2,13128.02004814148
#1000000000,4,3,19696.234703063965
1000000000,8,0,14187.858581542969
#1000000000,8,1,19970.33953666687
1000000000,8,2,13543.61605644226
1000000000,8,3,13513.292789459229
1000000000,16,0,12986.297607421875
1000000000,16,1,12757.840871810913
1000000000,16,2,13256.624221801758
1000000000,16,3,13562.472105026245
1000000000,32,0,12809.886693954468
1000000000,32,1,12803.662061691284
1000000000,32,2,13118.65782737732
1000000000,32,3,12905.495405197144
