Parallelism,Time,min,max
168,57014.46516,55641.48292,58511.04906
336,24794.88851,24549.07392,25026.95566
672,13369.39734,13041.29269,13679.64839
1344,7604.21093,7425.376639,7876.667751
2688,4640.228776,4576.592625,4770.834707
5376,6147.40016,5601.707548,6637.960121
10752,10370.17614,8062.104335,10968.22558
