Parallelism,Stage,time(ms),Comm
256,total_time,6877,gloo
256,total_time,4982,gloo
256,total_time,5303,gloo
256,total_time,5116,gloo
256,total_time,5285,gloo
256,total_time,5881,gloo
256,total_time,5776,gloo
512,total_time,4654,gloo
512,total_time,4676,gloo
512,total_time,5638,gloo
512,total_time,4581,gloo
512,total_time,4615,gloo
512,total_time,4591,gloo
512,total_time,4683,gloo
512,total_time,4680,gloo
32,total_time,12732,ucx
32,total_time,13255,ucx
32,total_time,13522,ucx
32,total_time,13644,ucx
32,total_time,13501,ucx
32,total_time,13526,ucx
32,total_time,13552,ucx
32,total_time,13515,ucx
32,total_time,13724,ucx
32,total_time,13502,ucx
32,shuffle_l,2092,gloo
32,shuffle_r,2018,gloo
32,join,10527,gloo
32,shuffle_l,2147,gloo
32,shuffle_r,1987,gloo
32,join,11132,gloo
32,shuffle_l,2213,gloo
32,shuffle_r,2100,gloo
32,join,11172,gloo
32,shuffle_l,2312,gloo
32,shuffle_r,2041,gloo
32,join,11190,gloo
32,shuffle_l,2232,gloo
32,shuffle_r,2238,gloo
32,join,11112,gloo
32,shuffle_l,2054,gloo
32,shuffle_r,2611,gloo
32,join,11122,gloo
32,shuffle_l,2164,gloo
32,shuffle_r,2151,gloo
32,join,11128,gloo
32,shuffle_l,1990,gloo
32,shuffle_r,2364,gloo
32,join,11081,gloo
32,shuffle_l,2264,gloo
32,shuffle_r,2033,gloo
32,join,11181,gloo
32,shuffle_l,2210,gloo
32,shuffle_r,2526,gloo
32,join,11289,gloo
64,shuffle_l,1692,gloo
64,shuffle_r,1774,gloo
64,join,5183,gloo
64,shuffle_l,1740,gloo
64,shuffle_r,1794,gloo
64,join,5319,gloo
64,shuffle_l,1897,gloo
64,shuffle_r,1700,gloo
64,join,5452,gloo
64,shuffle_l,1632,gloo
64,shuffle_r,1889,gloo
64,join,5619,gloo
64,shuffle_l,1691,gloo
64,shuffle_r,1729,gloo
64,join,5445,gloo
64,shuffle_l,1692,gloo
64,shuffle_r,1676,gloo
64,join,5507,gloo
64,shuffle_l,1709,gloo
64,shuffle_r,1833,gloo
64,join,5511,gloo
64,shuffle_l,1644,gloo
64,shuffle_r,1850,gloo
64,join,5541,gloo
64,shuffle_l,1839,gloo
64,shuffle_r,1661,gloo
64,join,5513,gloo
64,shuffle_l,1722,gloo
64,shuffle_r,1788,gloo
64,join,5441,gloo
128,shuffle_l,1483,gloo
128,shuffle_r,2596,gloo
128,join,2579,gloo
128,shuffle_l,1434,gloo
128,shuffle_r,2040,gloo
128,join,2712,gloo
128,shuffle_l,1664,gloo
128,shuffle_r,2346,gloo
128,join,2661,gloo
128,shuffle_l,1548,gloo
128,shuffle_r,1602,gloo
128,join,2697,gloo
128,shuffle_l,1831,gloo
128,shuffle_r,1157,gloo
128,join,2722,gloo
128,shuffle_l,1558,gloo
128,shuffle_r,1968,gloo
128,join,2683,gloo
128,shuffle_l,1782,gloo
128,shuffle_r,1837,gloo
128,join,2717,gloo
128,shuffle_l,1786,gloo
128,shuffle_r,1591,gloo
128,join,2640,gloo
128,shuffle_l,1710,gloo
128,shuffle_r,3029,gloo
128,join,2736,gloo
128,shuffle_l,1606,gloo
128,shuffle_r,1732,gloo
128,join,2724,gloo
256,shuffle_l,2069,gloo
256,shuffle_r,2433,gloo
256,join,1254,gloo
256,shuffle_l,2053,gloo
256,shuffle_r,2263,gloo
256,join,1344,gloo
256,shuffle_l,1857,gloo
256,shuffle_r,2535,gloo
256,join,1280,gloo
256,shuffle_l,1936,gloo
256,shuffle_r,2824,gloo
256,join,1285,gloo
256,shuffle_l,1495,gloo
256,shuffle_r,1913,gloo
256,join,1274,gloo
256,shuffle_l,2113,gloo
256,shuffle_r,1805,gloo
256,join,1283,gloo
256,shuffle_l,1386,gloo
256,shuffle_r,2230,gloo
256,join,1310,gloo
256,shuffle_l,1397,gloo
256,shuffle_r,2173,gloo
256,join,1346,gloo
256,shuffle_l,1423,gloo
256,shuffle_r,2772,gloo
256,join,1299,gloo
256,shuffle_l,1581,gloo
256,shuffle_r,2669,gloo
256,join,1285,gloo
512,shuffle_l,1786,gloo
512,shuffle_r,2046,gloo
512,join,760,gloo
512,shuffle_l,1567,gloo
512,shuffle_r,2320,gloo
512,join,766,gloo
512,shuffle_l,1690,gloo
512,shuffle_r,2041,gloo
512,join,742,gloo
512,shuffle_l,2280,gloo
512,shuffle_r,1558,gloo
512,join,721,gloo
512,shuffle_l,1548,gloo
512,shuffle_r,2055,gloo
512,join,760,gloo
512,shuffle_l,2050,gloo
512,shuffle_r,1689,gloo
512,join,766,gloo
512,shuffle_l,1966,gloo
512,shuffle_r,1896,gloo
512,join,745,gloo
512,shuffle_l,1624,gloo
512,shuffle_r,2342,gloo
512,join,712,gloo
64,shuffle_l,852,ucx
64,shuffle_r,789,ucx
64,join,5287,ucx
64,shuffle_l,831,ucx
64,shuffle_r,918,ucx
64,join,5482,ucx
64,shuffle_l,779,ucx
64,shuffle_r,803,ucx
64,join,5573,ucx
64,shuffle_l,822,ucx
64,shuffle_r,900,ucx
64,join,5504,ucx
64,shuffle_l,807,ucx
64,shuffle_r,781,ucx
64,join,5476,ucx
64,shuffle_l,774,ucx
64,shuffle_r,828,ucx
64,join,5509,ucx
64,shuffle_l,795,ucx
64,shuffle_r,897,ucx
64,join,5398,ucx
64,shuffle_l,803,ucx
64,shuffle_r,837,ucx
64,join,5500,ucx
64,shuffle_l,799,ucx
64,shuffle_r,926,ucx
64,join,5456,ucx
64,shuffle_l,784,ucx
64,shuffle_r,797,ucx
64,join,5465,ucx
128,shuffle_l,1208,ucx
128,shuffle_r,689,ucx
128,join,2628,ucx
128,shuffle_l,655,ucx
128,shuffle_r,724,ucx
128,join,2688,ucx
128,shuffle_l,743,ucx
128,shuffle_r,601,ucx
128,join,2755,ucx
128,shuffle_l,696,ucx
128,shuffle_r,737,ucx
128,join,2785,ucx
128,shuffle_l,673,ucx
128,shuffle_r,738,ucx
128,join,2704,ucx
128,shuffle_l,675,ucx
128,shuffle_r,732,ucx
128,join,2755,ucx
128,shuffle_l,703,ucx
128,shuffle_r,740,ucx
128,join,2755,ucx
128,shuffle_l,702,ucx
128,shuffle_r,737,ucx
128,join,2716,ucx
128,shuffle_l,714,ucx
128,shuffle_r,742,ucx
128,join,2718,ucx
128,shuffle_l,729,ucx
128,shuffle_r,714,ucx
128,join,2732,ucx
256,shuffle_l,630,ucx
256,shuffle_r,703,ucx
256,join,1313,ucx
256,shuffle_l,657,ucx
256,shuffle_r,722,ucx
256,join,1358,ucx
256,shuffle_l,687,ucx
256,shuffle_r,758,ucx
256,join,1367,ucx
256,shuffle_l,718,ucx
256,shuffle_r,755,ucx
256,join,1347,ucx
256,shuffle_l,756,ucx
256,shuffle_r,768,ucx
256,join,1321,ucx
256,shuffle_l,745,ucx
256,shuffle_r,788,ucx
256,join,1315,ucx
256,shuffle_l,743,ucx
256,shuffle_r,792,ucx
256,join,1314,ucx
256,shuffle_l,757,ucx
256,shuffle_r,739,ucx
256,join,1323,ucx
256,shuffle_l,757,ucx
256,shuffle_r,778,ucx
256,join,1358,ucx
512,shuffle_l,947,ucx
512,shuffle_r,976,ucx
512,join,735,ucx
512,shuffle_l,903,ucx
512,shuffle_r,1004,ucx
512,join,742,ucx
512,shuffle_l,923,ucx
512,shuffle_r,1090,ucx
512,join,766,ucx
512,shuffle_l,993,ucx
512,shuffle_r,1153,ucx
512,join,750,ucx
512,shuffle_l,1066,ucx
512,shuffle_r,1155,ucx
512,join,744,ucx
512,shuffle_l,1167,ucx
512,shuffle_r,1203,ucx
512,join,760,ucx
512,shuffle_l,1045,ucx
512,shuffle_r,1150,ucx
512,join,764,ucx
512,shuffle_l,1108,ucx
512,shuffle_r,1209,ucx
512,join,737,ucx
512,shuffle_l,1086,ucx
512,shuffle_r,1226,ucx
512,join,757,ucx
64,total_time,6951,ucx
64,total_time,7310,ucx
64,total_time,7265,ucx
64,total_time,7316,ucx
64,total_time,7244,ucx
64,total_time,7292,ucx
64,total_time,7265,ucx
64,total_time,7262,ucx
64,total_time,7218,ucx
64,total_time,7208,ucx
128,total_time,4700,ucx
128,total_time,4144,ucx
128,total_time,4232,ucx
128,total_time,4220,ucx
128,total_time,4194,ucx
128,total_time,4198,ucx
128,total_time,4239,ucx
128,total_time,4245,ucx
128,total_time,4220,ucx
128,total_time,4214,ucx
256,total_time,2699,ucx
256,total_time,2782,ucx
256,total_time,2846,ucx
256,total_time,2860,ucx
256,total_time,2924,ucx
256,total_time,2921,ucx
256,total_time,2910,ucx
256,total_time,2892,ucx
256,total_time,2934,ucx
512,total_time,2700,ucx
512,total_time,2696,ucx
512,total_time,2798,ucx
512,total_time,2934,ucx
512,total_time,3010,ucx
512,total_time,3158,ucx
512,total_time,2986,ucx
512,total_time,3112,ucx
512,total_time,3099,ucx
32,shuffle_l,1011,ucx
32,shuffle_r,891,ucx
32,join,10321,ucx
32,shuffle_l,901,ucx
32,shuffle_r,1050,ucx
32,join,10775,ucx
32,shuffle_l,1232,ucx
32,shuffle_r,924,ucx
32,join,11152,ucx
32,shuffle_l,1266,ucx
32,shuffle_r,1091,ucx
32,join,11284,ucx
32,shuffle_l,973,ucx
32,shuffle_r,1286,ucx
32,join,11192,ucx
32,shuffle_l,1257,ucx
32,shuffle_r,1065,ucx
32,join,11128,ucx
32,shuffle_l,1249,ucx
32,shuffle_r,1075,ucx
32,join,11225,ucx
32,shuffle_l,1236,ucx
32,shuffle_r,1077,ucx
32,join,11200,ucx
32,shuffle_l,1268,ucx
32,shuffle_r,1104,ucx
32,join,11271,ucx
32,shuffle_l,1286,ucx
32,shuffle_r,1035,ucx
32,join,11102,ucx
