rows,world,it,time
1000000,32,0,11068.72534751892
1000000,32,1,7024.29986000061
1000000,32,2,7768.719434738159
1000000,32,3,7777.258634567261
1000000,32,4,7272.1452713012695
1000000,64,0,7297.27029800415
1000000,64,1,6020.950078964233
1000000,64,2,4042.741298675537
1000000,64,3,4514.308452606201
1000000,64,4,4794.1694259643555
1000000000,512,0,48044.41213607788
1000000000,512,1,29407.466173171997
1000000000,512,2,37702.10266113281
1000000000,512,3,33892.42720603943
1000000000,256,0,44604.80332374573
1000000000,256,1,32343.278884887695
1000000000,256,2,42825.84023475647
1000000000,256,3,29664.865970611572
1000000000,128,0,48085.35385131836
1000000000,128,1,42601.30977630615
1000000000,128,2,41643.37635040283
1000000000,128,3,35181.48994445801
1000000000,64,0,70126.14870071411
1000000000,64,1,57945.22833824158
1000000000,64,2,58505.25403022766
1000000000,64,3,62098.08421134949
1000000000,32,0,103140.35844802856
1000000000,32,1,95577.3913860321
1000000000,32,2,95010.48254966736
1000000000,32,3,92114.42542076111
