rows,world,it,time
1000000000,4,5,242731.773853302
1000000000,4,6,240548.99644851685
1000000000,4,7,244107.62667655945
1000000000,4,8,242464.7912979126
1000000000,4,9,248433.12740325928
1000000000,2,0,461377.0339488983
1000000000,2,1,491175.26483535767
1000000000,2,2,478466.356754303
1000000000,2,3,453330.89876174927
1000000000,2,4,462980.1995754242
1000000000,2,5,472188.04144859314
1000000000,2,6,465424.70479011536
1000000000,2,7,466396.11887931824
1000000000,2,8,469623.47650527954
1000000000,2,9,474080.5284976959
1000000000,1,0,911395.9445953369
1000000000,1,1,873560.3580474854
1000000000,1,2,855346.7297554016
1000000000,1,3,839810.01329422
1000000000,1,4,831349.472284317
1000000000,1,5,828135.8869075775
1000000000,1,6,832278.0599594116
1000000000,1,7,832340.151309967
1000000000,1,8,851535.7573032379
1000000000,1,9,880452.7349472046
100000000,1,0,60625.52309036255
100000000,1,1,49619.32039260864
100000000,1,2,47768.232107162476
100000000,1,3,48733.51764678955
100000000,1,4,62671.01216316223
100000000,2,0,46270.01619338989
100000000,2,1,48868.07656288147
100000000,2,2,47319.591999053955
100000000,2,3,46645.04075050354
100000000,2,4,44729.116678237915
100000000,4,0,24815.20652770996
100000000,4,1,24561.557292938232
100000000,4,2,24029.01840209961
100000000,4,3,23742.417573928833
100000000,4,4,24277.437925338745
100000000,8,0,13772.209405899048
100000000,8,1,14610.263109207153
100000000,8,2,14341.264724731445
100000000,8,3,12798.67696762085
100000000,8,4,12821.993112564087
100000000,16,0,15313.758373260498
100000000,16,1,14922.849416732788
100000000,16,2,14917.649269104004
100000000,16,3,13394.506454467773
100000000,16,4,13832.289457321167
100000000,32,0,10402.92239189148
100000000,32,1,9769.070863723755
100000000,32,2,9433.505296707153
100000000,32,3,9080.953359603882
100000000,32,4,8807.696104049683
100000000,64,0,4785.0189208984375
100000000,64,1,4551.812410354614
100000000,64,2,4092.3948287963867
100000000,64,3,3498.5568523406982
100000000,64,4,3497.8721141815186
100000000,128,0,4131.873369216919
100000000,128,1,2584.9609375
100000000,128,2,3602.7255058288574
100000000,128,3,2912.6784801483154
100000000,128,4,2782.951593399048
100000000,256,0,5682.881832122803
100000000,256,1,3838.772773742676
100000000,256,2,3619.584083557129
100000000,256,3,4861.682653427124
100000000,256,4,3174.4518280029297
100000000,512,0,14609.222412109375
100000000,512,1,12669.232606887817
100000000,512,2,12304.762363433838
100000000,512,3,13371.175765991211
100000000,512,4,11849.430799484253
