rows,world,iter,time
1000000000,1,0,707811.7928504944
1000000000,1,1,704354.7592163086
1000000000,1,2,704200.5887031555
1000000000,1,3,704135.1389884949
100000000,1,0,43956.04205131531
100000000,1,1,43743.01600456238
100000000,1,2,43773.72479438782
100000000,1,3,43758.307695388794
